article name	author	% '.'	% ','	% '?'	% ':'	% ';'	% ' '	% '!'	% '-'	% '_'	% '('	% '"'	% '/'	sentences-to-words ratio	avg. sentence length	%" "	%"\n"	%"the"	%"and"	%"'"	%"of"	%"to"	%"-"	%"a"	%"in"	%"i"	%"""	%"that"	%"he"	%"it"	%"wa"	%"hi"	%"you"	%"with"	%"for"	%"as"	%"is"	%"+"	%"but"	%"her"	%"be"	%"not"	%"had"	%"my"	%"s"	%"at"	%"on"	%"thi"	%"she"	%"all"	%"have"	%"him"	%"they"	%"me"	%"by"	%"so"	%"which"	%"we"	%"from"	%"one"	%"no"	%""	%"were"	%"or"	%"are"
Sketches by Boz_14.txt	Dickens	0.018578352180936994	0.035541195476575124	0.0008077544426494346	0.0008077544426494346	0.008077544426494346	0	0	0	0	0.0016155088852988692	0	0	0.014975041597337771	132.8148148148148	1072	106	50	18	6	21	17	14	14	6	0	0	6	5	11	8	2	0	6	3	2	8	0	2	0	7	4	2	0	2	4	7	1	0	1	4	0	5	0	3	0	4	4	4	4	1	0	2	2	5
A Son Of The Su_9.txt	London	0.04043126684636118	0.03234501347708895	0.0026954177897574125	0	0.0008984725965858042	0	0	0	0.0008984725965858042	0	0	0	0.030883261272390366	55.48	916	76	27	17	52	10	13	20	24	10	21	16	3	10	7	11	7	11	1	7	1	1	0	1	3	3	2	1	2	3	2	4	1	2	1	2	3	0	5	1	0	0	0	3	2	1	0	0	0	1
An Ideal Husban_18.txt	Wilde	0.05191489361702128	0.023829787234042554	0.00425531914893617	0	0	0	0.000851063829787234	0	0	0	0	0	0.04539800995024876	38.43835616438356	934	100	11	8	10	9	10	4	19	14	18	0	5	2	9	1	3	2	4	1	8	16	0	3	6	5	7	1	4	2	5	2	1	10	1	6	1	1	1	0	1	0	0	1	3	0	0	0	0	1
Romola_16.txt	Eliot	0.012903225806451613	0.035842293906810034	0	0.0007168458781362007	0.0064516129032258064	0	0.0014336917562724014	0	0	0	0	0	0.009896091044037604	187.25	1210	104	28	17	6	28	16	10	28	6	12	18	14	2	8	1	6	9	6	6	7	14	0	4	0	3	10	2	3	3	2	1	3	0	1	10	0	2	5	2	5	5	3	5	1	4	0	1	3	4
Lost Face_5.txt	London	0.026905829596412557	0.034080717488789235	0.0017937219730941704	0.0008968609865470852	0.0053811659192825115	0	0.0008968609865470852	0	0	0	0	0	0.020793950850661626	86.63636363636364	944	78	48	19	16	13	19	6	9	8	1	14	5	14	2	8	7	4	3	1	0	0	0	4	0	2	3	2	0	4	9	9	0	0	1	0	8	3	0	1	0	0	1	2	0	0	0	0	0	0
Intentions_14.txt	Wilde	0.016371971185330715	0.04387688277668631	0	0.0013097576948264572	0.0013097576948264572	0	0	0	0	0	0	0	0.01126126126126126	167.2	1302	120	33	29	0	36	27	20	18	8	2	0	7	23	5	10	14	0	4	4	6	2	0	3	2	2	2	5	1	3	5	7	4	0	1	9	9	0	0	5	3	3	2	4	2	1	6	6	2	0
Memoirs of a Ca_13.txt	Defoe	0.011661807580174927	0.037900874635568516	0	0	0.0029154518950437317	0	0	0	0	0	0	0	0.007858546168958742	222.41666666666666	930	84	41	13	4	28	20	0	7	8	13	0	4	3	8	6	0	0	3	9	6	0	0	6	0	0	6	6	0	2	1	3	5	0	3	0	4	9	3	3	3	7	7	3	1	3	0	4	0	1
A Portrait of t_6.txt	Joyce	0.03122043519394513	0.007568590350047304	0.001892147587511826	0.003784295175023652	0	0	0.003784295175023652	0	0	0	0	0	0.024714828897338403	69.58974358974359	956	84	40	21	6	14	6	6	13	7	0	0	9	21	9	13	7	5	4	2	1	2	0	3	1	5	3	5	0	3	4	4	0	0	0	0	8	5	0	4	1	0	1	2	0	2	0	4	2	0
The NightBorn_8.txt	London	0.040627885503231764	0.027700831024930747	0.0018467220683287165	0.0009233610341643582	0.0009233610341643582	0	0	0	0	0	0	0	0.030183727034120734	56.43478260869565	896	64	38	17	4	7	7	10	12	5	7	42	9	23	14	8	8	2	8	0	1	13	0	5	0	5	6	2	1	2	3	1	2	0	1	0	8	0	0	2	2	0	2	1	2	4	0	2	0	0
Pillars of Soci_19.txt	Ibsen	0.02110091743119266	0.03394495412844037	0.011009174311926606	0.015596330275229359	0.005504587155963303	0	0.001834862385321101	0	0	0.0009174311926605505	0	0	0.02385557704706641	68.32432432432432	928	90	9	15	6	6	17	6	8	4	24	2	12	0	8	7	0	15	5	4	7	4	0	6	6	3	5	4	7	0	1	5	1	12	1	3	0	0	10	0	6	0	3	1	0	6	0	1	0	0
Timon of Athens_14.txt	Shakespeare	0.018570102135561744	0.052924791086350974	0.005571030640668524	0.008356545961002786	0.003714020427112349	0	0	0	0	0.002785515320334262	0	0	0.017555266579973992	101.07407407407408	872	114	18	17	22	5	17	6	6	9	4	0	5	6	5	0	10	5	6	2	4	9	0	7	0	6	4	1	7	2	2	0	2	0	2	0	1	1	1	1	2	3	0	1	2	1	0	1	0	2
Symbolic Logic_19.txt	Carroll	0.027482823235477825	0.022485946283572766	0	0.0006246096189881324	0.004372267332916927	0	0	0.004996876951905059	0	0.009369144284821987	0	0	0.027123483226266953	77.26315789473684	782	42	30	9	2	3	6	12	2	16	0	76	8	0	6	0	0	0	0	3	1	10	0	0	0	9	3	0	0	0	0	0	7	0	2	0	0	0	0	4	2	0	9	0	1	15	0	1	1	31
Following the E_16.txt	Twain	0.021305841924398626	0.03161512027491409	0.0006872852233676976	0.0006872852233676976	0.003436426116838488	0	0	0	0	0	0	0	0.016144349477682812	107.02941176470588	1248	106	30	34	8	16	16	42	23	11	2	0	12	29	24	8	5	1	3	2	3	15	0	5	0	2	6	1	0	4	3	5	2	0	4	5	4	1	1	0	2	1	1	3	2	6	0	1	7	4
Mudfog and Othe_0.txt	Dickens	0.009009009009009009	0.04804804804804805	0	0.0015015015015015015	0.0045045045045045045	0	0.0015015015015015015	0	0	0.0007507507507507507	0	0	0.008093070308548306	230.25	1178	108	49	23	0	22	26	26	21	9	0	0	4	2	3	8	8	0	14	2	5	1	0	7	0	4	4	4	0	1	4	11	3	0	4	5	1	7	0	3	2	5	5	1	6	2	2	4	7	2
Eight Cousins_2.txt	Alcott	0.019691780821917807	0.04195205479452055	0.0025684931506849314	0	0.0008561643835616438	0	0.003424657534246575	0	0	0	0	0	0.018061408789885613	93.93333333333334	984	68	26	24	24	10	11	4	18	7	6	28	6	0	9	10	2	9	2	7	6	2	0	4	14	2	4	4	2	2	4	2	1	8	4	1	0	1	1	2	8	0	13	0	1	2	0	2	2	1
Adam Bede_3.txt	Eliot	0.011131725417439703	0.045454545454545456	0.0027829313543599257	0	0.0009276437847866419	0	0.0009276437847866419	0	0	0	0	0	0.010081915563957152	177.9375	912	82	26	13	38	23	13	14	10	5	6	12	3	1	2	8	5	0	7	0	8	1	0	2	8	2	1	7	0	12	1	1	2	2	0	0	3	4	1	8	0	5	0	2	1	0	0	1	1	2
A Daughter of t_16.txt	London	0.03826086956521739	0.030434782608695653	0.008695652173913044	0	0.0008695652173913044	0	0.004347826086956522	0	0	0	0	0	0.03748411689961881	45.220338983050844	884	72	25	18	26	10	15	18	6	7	18	50	2	11	9	9	4	13	2	6	4	2	0	4	7	2	8	6	2	2	5	7	0	8	2	1	1	0	4	4	4	0	0	0	0	1	0	2	0	0
Emma_18.txt	Austen	0.024734982332155476	0.027385159010600707	0.0008833922261484099	0	0.007067137809187279	0	0.007950530035335688	0	0	0	0	0	0.02670807453416149	65.67441860465117	942	74	29	11	2	15	10	28	12	10	8	28	5	6	17	8	1	7	4	2	4	9	0	6	6	10	12	1	5	1	2	4	0	9	1	3	2	0	1	1	4	2	1	1	2	3	0	1	0	1
In Morocco_4.txt	Wharton	0.014124293785310734	0.031073446327683617	0	0.0018832391713747645	0.003766478342749529	0	0	0	0	0	0	0	0.009299442033477991	212.93333333333334	938	98	49	15	4	28	13	28	7	6	0	4	5	1	15	4	3	0	4	6	2	5	0	2	0	2	4	4	0	2	0	4	1	0	1	2	2	1	0	4	3	3	0	3	3	2	0	0	2	2
The Life and Ad_14.txt	Defoe	0.00929368029739777	0.04894671623296159	0	0.0012391573729863693	0.010532837670384139	0	0.0006195786864931846	0	0	0	0	0	0.006881720430107527	248.75	1418	116	48	37	2	21	21	2	13	11	26	12	14	8	10	8	5	1	7	10	3	0	0	10	0	3	5	9	4	1	4	5	4	0	0	5	11	2	5	6	4	5	7	1	4	2	0	5	4	0
The Letters of_4.txt	Austen	0.020766773162939296	0.029552715654952075	0	0	0.001597444089456869	0	0.0007987220447284345	0	0	0.0007987220447284345	0	0	0.017754868270332187	99.41935483870968	1044	96	10	24	8	13	24	8	12	6	14	2	4	3	3	5	1	3	4	6	4	10	0	8	3	2	6	7	12	4	5	6	0	7	2	7	2	1	3	2	2	4	9	5	1	3	0	5	2	0
Felix Holt the_5.txt	Eliot	0.03130590339892665	0.028622540250447227	0.0008944543828264759	0.0008944543828264759	0.0035778175313059034	0	0.0026833631484794273	0	0	0.0008944543828264759	0	0	0.02527743526510481	65.5609756097561	942	64	23	11	34	7	22	14	19	7	22	26	6	6	5	3	5	9	1	7	5	8	0	2	1	7	5	5	3	8	1	7	0	1	2	4	0	1	2	0	0	1	2	1	0	2	0	1	1	3
The Faith of Me_2.txt	London	0.02214022140221402	0.03966789667896679	0.0018450184501845018	0.0018450184501845018	0.0009225092250922509	0	0.0018450184501845018	0	0	0	0	0	0.018205461638491547	94.53571428571429	912	78	41	35	14	21	8	10	7	8	15	12	5	6	2	5	3	1	3	3	1	3	0	4	1	4	5	5	2	1	1	3	5	1	0	10	3	0	4	2	3	3	10	2	0	1	0	0	0	0
Pride and Preju_6.txt	Austen	0.018198362147406732	0.040036396724294813	0.003639672429481347	0.00272975432211101	0.006369426751592357	0	0.0009099181073703367	0	0	0	0	0	0.01983365323096609	92.35483870967742	940	76	20	17	0	18	15	2	12	9	10	24	5	4	8	9	3	10	5	4	2	4	0	2	7	3	7	7	1	0	8	1	2	5	2	4	0	0	2	4	2	2	0	1	3	2	0	0	2	2
The Winters Ta_16.txt	Shakespeare	0.022935779816513763	0.04259501965923984	0.000655307994757536	0.01310615989515072	0.009174311926605505	0	0.001965923984272608	0	0	0.000655307994757536	0	0	0.0190623390005152	90.29729729729729	1062	168	22	17	46	16	14	10	8	6	26	0	4	1	4	2	0	6	4	10	1	4	0	2	4	13	5	0	10	2	2	2	13	2	1	6	0	1	6	2	8	1	2	1	2	3	0	0	1	3
The Merry Wives_6.txt	Shakespeare	0.04764930114358323	0.026683608640406607	0.008259212198221092	0.023506988564167726	0.0063532401524777635	0	0.0025412960609911056	0	0	0.0012706480304955528	0	0	0.047248182762201454	35.9010989010989	1098	80	7	8	18	9	6	30	5	7	24	0	8	0	3	0	1	5	2	6	3	5	0	6	3	1	4	1	4	10	0	1	1	3	1	7	1	0	4	2	0	0	3	0	1	1	0	0	0	0
Roughing It_1.txt	Twain	0.020711974110032363	0.02912621359223301	0	0	0.003236245954692557	0	0.0006472491909385113	0	0	0	0	0	0.01699346405228758	103.7948717948718	1352	114	25	38	0	19	23	50	26	12	12	0	12	2	13	16	0	1	4	9	5	1	0	7	0	2	7	8	3	2	5	7	0	8	6	1	1	0	1	1	3	5	16	3	6	6	4	4	4	0
The Stormor_17.txt	Defoe	0.009569377990430622	0.044976076555023926	0	0.0028708133971291866	0.0019138755980861245	0	0	0	0	0.0009569377990430622	0	0	0.007152145643693108	264.27272727272725	918	82	30	21	14	27	6	8	11	17	2	0	11	0	2	4	2	0	6	3	9	2	0	3	0	1	4	3	0	2	4	0	4	0	1	3	2	0	0	6	4	6	4	4	1	1	0	3	4	3
The Life and Mo_7.txt	Defoe	0.015113350125944584	0.05037783375314862	0	0.0016792611251049538	0.0041981528127623844	0	0	0	0	0	0	0	0.010416666666666666	163.27777777777777	1060	84	28	21	8	21	16	0	19	7	32	0	3	0	5	2	0	0	10	5	5	0	0	5	0	1	4	9	9	4	1	5	3	0	2	1	0	1	1	2	1	7	1	1	1	1	0	3	5	0
Love of Life a_7.txt	London	0.03568464730290456	0.021576763485477178	0.0008298755186721991	0	0.0033195020746887966	0	0	0	0	0	0	0	0.026020106445890007	69.13636363636364	1006	78	39	18	22	15	5	22	15	4	5	0	8	21	13	17	15	1	13	2	3	0	0	4	0	0	3	1	1	5	5	2	0	0	1	0	4	7	0	3	1	1	0	3	0	0	0	3	0	0
The Uncommercia_9.txt	Dickens	0.013023255813953489	0.046511627906976744	0.0018604651162790699	0	0.0037209302325581397	0	0.011162790697674419	0	0	0.0018604651162790699	0	0	0.012461059190031152	142.75	902	74	26	22	0	7	11	0	26	12	7	0	8	1	9	8	0	4	6	4	4	5	0	3	4	4	1	5	2	6	3	3	6	0	0	3	0	2	1	2	0	1	4	0	6	1	46	2	2	0
