When We Dead Awaken;['4782', '861', 'Ibsen, Henrik', 'When We Dead Awaken', 'NA', 'en', 'TRUE']
The Game;['1160', '120', 'London, Jack', 'The Game', 'NA', 'en', 'TRUE']
Dickory Cronke: The Dumb Philosopher, or, Great Britain's Wonder;"['2051', '204', 'Defoe, Daniel', ""Dickory Cronke: The Dumb Philosopher, or, Great Britain's Wonder"", 'NA', 'en', 'TRUE']"
Phaedo;['1658', '93', 'Plato', 'Phaedo', 'Harvard Classics', 'en', 'TRUE']
"Lord Arthur Savile's Crime; The Portrait of Mr. W.H., and Other Stories";"['773', '111', 'Wilde, Oscar', ""Lord Arthur Savile's Crime; The Portrait of Mr. W.H., and Other Stories"", 'Contemporary Reviews', 'en', 'TRUE']"
Lady Inger of Ostrat: Henrik Ibsen's Prose Dramas Vol III;"['19018', '861', 'Ibsen, Henrik', ""Lady Inger of Ostrat: Henrik Ibsen's Prose Dramas Vol III"", 'NA', 'en', 'TRUE']"
For Love of the King: A Burmese Masque;['23229', '111', 'Wilde, Oscar', 'For Love of the King: A Burmese Masque', 'NA', 'en', 'TRUE']
Mansfield Park;['141', '68', 'Austen, Jane', 'Mansfield Park', 'NA', 'en', 'TRUE']
The Grand Inquisitor;['8578', '314', 'Dostoyevsky, Fyodor', 'The Grand Inquisitor', 'Racism', 'en', 'TRUE']
A Lover's Complaint;"['1543', '65', 'Shakespeare, William', ""A Lover's Complaint"", 'NA', 'en', 'TRUE']"
Master Humphrey's Clock;"['588', '37', 'Dickens, Charles', ""Master Humphrey's Clock"", 'NA', 'en', 'TRUE']"
The Battle of Life. A Love Story;['40723', '37', 'Dickens, Charles', 'The Battle of Life. A Love Story', 'NA', 'en', 'TRUE']
In Morocco;['11104', '104', 'Wharton, Edith', 'In Morocco', 'NA', 'en', 'TRUE']
A Horse's Tale;"['1086', '53', 'Twain, Mark', ""A Horse's Tale"", 'NA', 'en', 'TRUE']"
Daniel Deronda;['7469', '90', 'Eliot, George', 'Daniel Deronda', 'NA', 'en', 'TRUE']
Silas Marner;['550', '90', 'Eliot, George', 'Silas Marner', 'NA', 'en', 'TRUE']
Love and Freindship [sic];['1212', '68', 'Austen, Jane', 'Love and Freindship [sic]', 'NA', 'en', 'TRUE']
